t_date,t_amount,t_desc,t_balance
30/06/2020,-109.99,Direct Debit 513839 IINET_LIMITED-N 20181068ccc0fb6,1070.05
30/06/2020,-153.26,Direct Debit 466856 GIO COMMERCIAL I GPM004106253,1180.04
30/06/2020,-1466.3,Transfer to CBA A/c NetBank Danibel Supplier,1333.3
30/06/2020,-209.44,OFFICEWORKS 0340 EPPING AU Tap and Pay xx3903 Value Date: 26/06/2020,2799.6
30/06/2020,-85.85,Jaycar Electronics Thomastown AU Tap and Pay xx3903 Value Date: 26/06/2020,3009.04
30/06/2020,-391.95,OFFICEWORKS 0315 BUNDOORA AU Tap and Pay xx3903 Value Date: 26/06/2020,3094.89
30/06/2020,-87.8,DAN MURPHYS 3865 EPPIN EPPING AU Tap and Pay xx3903 Value Date: 26/06/2020,3486.84
30/06/2020,-27.3,COLES 7786 LALOR AU Tap and Pay xx3903 Value Date: 27/06/2020,3574.64
30/06/2020,-38.12,ALDI STORES - EPPING EPPING AU Tap and Pay xx3903 Value Date: 26/06/2020,3601.94
30/06/2020,1158.17,Transfer From Lion Pumping Lion Pumping,3640.06
29/06/2020,-65.96,Direct Debit 279234 PAYPAL AUSTRALIA 1009474251193,2481.89
29/06/2020,-13.99,Direct Debit 279234 PAYPAL AUSTRALIA 1009470830941,2547.85
29/06/2020,1000,Transfer from NetBank,2561.84
29/06/2020,-65,COSTCO FUEL EPPING EPPING AU,1561.84
28/06/2020,-28.65,WOOLWORTHS 3171 MILL P MILL PARK AU Card xx8833,1626.84
28/06/2020,-500,Transfer to xx4217 NetBank,1655.49
27/06/2020,830,POS 43424400 27 JUN,2155.49
27/06/2020,-176,D O C CARLTON CARLTON AU Tap and Pay xx4493 Value Date: 24/06/2020,1325.49
27/06/2020,-278,OFFICEWORKS 0340 EPPING AU Tap and Pay xx3903 Value Date: 25/06/2020,1501.49
27/06/2020,-634,OFFICEWORKS 0340 EPPING AU Tap and Pay xx3903 Value Date: 25/06/2020,1779.49
26/06/2020,440,POS 43424400 26 JUN,2413.49
26/06/2020,220.36,Direct Credit 279219 PAYPAL AUSTRALIA 1009433106240,1973.49
26/06/2020,500,Transfer from CommBank app,1753.13
26/06/2020,-36.36,WWW.NETTVPLUS.COM A-F3220 WWW.NETTVPLUS CY Card xx8833 AUD 36.36 Value Date: 23/06/2020,1253.13
25/06/2020,-44.03,Direct Debit 279234 PAYPAL AUSTRALIA 1009430163031,1289.49
25/06/2020,-1000,Transfer to xx4217 NetBank,1333.52
25/06/2020,1158.17,Direct Credit 364049 LB CONCRETE JDL SOFTWARE - LB,2333.52
25/06/2020,15,Transfer from NetBank,1175.35
25/06/2020,500,Transfer from CommBank app,1160.35
25/06/2020,-500,Transfer to xx4217 NetBank,660.35
24/06/2020,780,POS 43424400 24 JUN,1160.35
24/06/2020,-120,Direct Debit 279234 PAYPAL AUSTRALIA 1009412850266,380.35
24/06/2020,-1176,HARVEY NORMAN AV/IT BAIRNSDALE AU Card xx8833 Value Date: 21/06/2020,500.35
23/06/2020,-924.15,Direct Debit 077380 DEFT PAYMENTS DEFT 20357512,1676.35
23/06/2020,-79.2,Direct Debit 279234 PAYPAL AUSTRALIA 1009408438075,2600.5
23/06/2020,-129.98,Direct Debit 279234 PAYPAL AUSTRALIA 1009408484139,2679.7
23/06/2020,-83.91,Direct Debit 279234 PAYPAL AUSTRALIA 1009407912489,2809.68
23/06/2020,-76.99,ADOBE CREATIVE CLOUD ADOBE.LY/ENAU IE Card xx8833 AUD 76.99 Value Date: 19/06/2020,2893.59
23/06/2020,-146.3,TARGETC 6586 BAIRNSDALE AU Tap and Pay xx3903 Value Date: 21/06/2020,2970.58
23/06/2020,550,Transfer From Lion Pumping Lion Monthly,3116.88
23/06/2020,1158.17,Transfer From Lion Pumping Lion Pumping,2566.88
22/06/2020,-220.36,Direct Debit 279234 PAYPAL AUSTRALIA 1009396925626,1408.71
